feature1,feature2,chi2,p_value
blood_pressure_medication,stroke_history,26.140422766619782,3.174678120297609e-07
blood_pressure_medication,hypertension_history,217.24927887891187,3.600831674011479e-49
blood_pressure_medication,smoking_status,10.665106457343896,0.0010917556821353213
blood_pressure_medication,diabetes_history,3.8270334124922307,0.05043211947843727
blood_pressure_medication,education_level,0.8253398700053867,0.843396961036397
blood_pressure_medication,gender,6.081981439397233,0.013656750912638979
blood_pressure_medication,high_blood_sugar,3.8270334124922307,0.05043211947843727
stroke_history,hypertension_history,16.066997196691133,6.114034004191955e-05
stroke_history,smoking_status,1.15822869671846,0.28183319624778136
stroke_history,diabetes_history,0.0,1.0
stroke_history,education_level,3.6018543505569904,0.30779023047699666
stroke_history,gender,0.000904292832485076,0.9760100603837955
stroke_history,high_blood_sugar,0.0,1.0
hypertension_history,smoking_status,34.722939438230355,3.801259199227442e-09
hypertension_history,diabetes_history,18.01567775781489,2.1909316297153938e-05
hypertension_history,education_level,26.12683065916631,8.971665065279354e-06
hypertension_history,gender,0.19405253625517593,0.6595649141740674
hypertension_history,high_blood_sugar,18.01567775781489,2.1909316297153938e-05
smoking_status,diabetes_history,3.5540637492753637,0.059399808795452265
smoking_status,education_level,12.821488069836244,0.005038990137012029
smoking_status,gender,119.7469024200652,7.186947056851521e-28
smoking_status,high_blood_sugar,3.5540637492753637,0.059399808795452265
diabetes_history,education_level,7.880969741970539,0.04853683430861543
diabetes_history,gender,1.087611546511543,0.2970010194348196
diabetes_history,high_blood_sugar,3352.5433260352843,0.0
education_level,gender,73.45080014442483,7.782088860499615e-16
education_level,high_blood_sugar,7.880969741970539,0.04853683430861543
gender,high_blood_sugar,1.087611546511543,0.2970010194348196
